Name,Category,Geography,Website,Notes
Patrick J. McGovern Foundation,Tech/AI Philanthropy,US (national),https://www.mcgovern.org/grants/,"Data, AI, and digital capacity for nonprofits."
Schmidt Sciences – AI2050,Tech/AI Philanthropy,US (national),https://www.schmidtsciences.org/ai2050/,Funds ambitious research and applications of AI for society.
Ford Foundation – Technology & Society,Tech/AI Philanthropy,US (national),https://www.fordfoundation.org/work/our-grantees/technology-and-society/,"Supports equitable, rights-respecting technology."
Knight Foundation – Technology/Journalism/Communities,Tech/AI / Community,"US (select cities, incl. Charlotte)",https://knightfoundation.org/grants/,"Civic tech, local news, arts; city programs (e.g., Charlotte)."
Mozilla Foundation – Mozilla Technology Fund,Tech/AI Philanthropy,US (global eligible),https://www.mozilla.org/en-US/grants/mtf/,"Open-source, trustworthy AI and internet health."
Omidyar Network – Responsible Tech,Tech/AI Philanthropy,US (national),https://www.omidyar.com/responsible-technology/,Grants and investments shaping responsible technology.
data.org (inclusive growth + data capacity),Tech/Data Philanthropy,US (global eligible),https://data.org/challenges/,Challenges and funding to build data-for-good capacity.
Craig Newmark Philanthropies,Tech/AI / Journalism,US (national),https://www.craignewmarkphilanthropies.org/,"Funds trustworthy journalism, cybersecurity for nonprofits."
AWS IMAGINE Grant,Corporate Tech Grant,US (nonprofits),https://aws.amazon.com/imagine-grant/,Cloud innovation grants for nonprofits.
Google.org – AI for the Global Goals,Corporate Tech Grant,US (global eligible),https://ai.google/social-good/impact-challenge/global-goals/,Funds AI projects advancing UN SDGs.
Microsoft AI for Accessibility,Corporate Tech Grant,US (global eligible),https://www.microsoft.com/en-us/ai/ai-for-accessibility,Grants for AI that empowers people with disabilities.
IBM Sustainability Accelerator,Corporate Tech Grant,US (global eligible),https://www.ibm.com/impact/sustainability-accelerator/,Pro-bono tech + credits for climate and sustainability.
Cisco Global Impact Cash Grants,Corporate Tech Grant,US (global),https://www.cisco.com/c/en/us/about/csr/impact/grants.html,Technology-enabled programs; education and economic empowerment.
NVIDIA Grants & In-Kind (research/NGO),Corporate Tech Grant,US (global eligible),https://www.nvidia.com/en-us/research/academic-programs/,"Hardware credits, academic/NGO support; periodic calls."
Salesforce Foundation,Corporate Philanthropy,US (national),https://www.salesforce.com/company/values/philanthropy/,Nonprofit tech and unrestricted grants (city-specific initiatives).
Mastercard Center for Inclusive Growth,Corporate Philanthropy (Data/AI),US (national),https://www.mastercardcenter.org/,"Data philanthropy, inclusive growth funding partnerships."
Okta for Good,Corporate Philanthropy (Tech),US (national),https://www.okta.com/okta-for-good/,Identity/Access tech for nonprofits; occasional grants.
Grand Rapids Community Foundation,Community Foundation,"Grand Rapids, MI",https://www.grfoundation.org/,Competitive and donor-advised funds serving Kent County.
Frey Foundation,Private Foundation,"Grand Rapids, MI",https://www.freyfdn.org/,"Arts, environment, community, and children & families."
Steelcase Foundation,Corporate/Private Foundation,"Grand Rapids, MI",https://www.steelcasefoundation.org/,Education access and thriving communities; Kent County focus.
Wege Foundation,Private Foundation,"Grand Rapids, MI",https://wegefoundation.org/,"Environment, education, arts & culture; Kent County focus."
Doug & Maria DeVos Foundation,Private Foundation,"Grand Rapids, MI",https://dmdevosfoundation.org/,"Youth, family, thriving communities."
DeVos Family Foundation,Private Family Foundation,"Grand Rapids, MI",https://devosfamilyfoundation.org/,Pathways to opportunity; children and families.
Community Foundation for Southeast Michigan,Community Foundation,"Detroit, MI region",https://cfsem.org/,Multiple grant programs across SE Michigan.
The Kresge Foundation,Private Foundation,"Detroit, MI (national focus)",https://kresge.org/grants-social-investments/,Urban opportunity; Detroit program plus national grants.
The Skillman Foundation,Private Foundation,"Detroit, MI",https://www.skillman.org/grants/,K-12 education and youth in Detroit.
McGregor Fund,Private Foundation,"Detroit, MI",https://mcgregorfund.org/,Basic needs & housing; Detroit tri-county focus.
"Ralph C. Wilson, Jr. Foundation",Private Foundation,SE Michigan & WNY,https://www.ralphcwilsonjrfoundation.org/,"Youth, young adults, caregivers, livable communities."
Hudson-Webber Foundation,Private Foundation,"Detroit, MI",https://hudson-webber.org/,"Community & economic development, arts, safe & just communities."
Gilbert Family Foundation,Private Foundation,"Detroit, MI",https://gilbertfamilyfoundation.org/,"Economic mobility, housing stability, arts; Detroit focus."
William Davidson Foundation,Private Foundation,SE Michigan,https://williamdavidson.org/,"Economic, cultural and civic vitality."
Max M. & Marjorie S. Fisher Foundation,Private Foundation,"Detroit, MI (and Jewish community)",https://mmfisher.org/,Children & families; Jewish values; Detroit commitment.
Capital Region Community Foundation,Community Foundation,"Lansing, MI region",https://ourcommunity.org/,"Grants for Ingham, Eaton, Clinton Counties."
R.E. Olds Foundation,Private Foundation,"Lansing, MI area",https://www.reoldsfoundation.org/,"Education, youth/families, animal welfare, environment."
Dart Foundation,Private Foundation,Mid-Michigan + select sites,https://www.dartfoundation.org/,STEM education and community projects.
Joe D. Pentecost Foundation,Private Foundation,"Greater Lansing, MI",https://jdpfoundation.org/,"Education, social and economic life in Greater Lansing."
Community Foundation for Greater Atlanta,Community Foundation,"Atlanta, GA",https://cfgreateratlanta.org/,Multiple grant opportunities for metro Atlanta.
